Bloco,Música,Loop,Nome do Loop,Tipo,Prompt
BLOCO 01 · Cultura / Rua / Estilo,CAPA M01 · SOBREVIVENDO NO INFERNO,Capa,Capa,Frame,"Sobrevivendo no Inferno album cover, Racionais MCs 1997, centered full frame, cinematic dark vignette, heavy film grain, monumental iconic presence, photorealistic"
BLOCO 01 · Cultura / Rua / Estilo,CAPA M01 · SOBREVIVENDO NO INFERNO,Capa,Capa,Animação,"Sobrevivendo no Inferno album cover slowly zooming in, dark vignette pulsing at edges, heavy film grain breathing, seamless loop, cinematic title card"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 1,Sample de Rádio,Frame,"Front-facing view of a massive vintage 1980s boombox, imposing and monumental, full body visible within frame, wide 16:9 composition, entire boombox centered and contained, fills most of the frame, low angle slightly below eye level looking up, photorealistic, dual cassette decks, analog FM tuner dial, large powerful speaker grills on both sides, warm amber backlight behind the tuner, no fake text no invented labels no made-up numbers, only real physical details, dark cinematic background, dramatic side lighting with deep shadows, VHS scanlines overlay, raw film grain, slight chromatic aberration, cinematic still"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 1,Sample de Rádio,Animação,"Massive vintage 1980s boombox centered on screen, static locked-off camera, no camera movement, VHS scanlines flickering across the entire frame, white noise particles drifting slowly over the surface, amber backlight behind the FM tuner pulsing gently, cassette reels spinning in slow hypnotic loop, electromagnetic interference patterns forming and dissolving, deep shadows breathing, seamless loop, dark cinematic atmosphere --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 2,Concreto Vivo,Frame,"Extreme close-up of São Paulo brutalist concrete wall, São Bento metro area architecture, raw texture with deep moisture stains and hairline cracks, dramatic single light source from below casting hard shadows, monolithic and still, dark cinematic, no people"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 2,Concreto Vivo,Animação,"Extreme close-up of São Paulo brutalist concrete surface slowly breathing and pulsing like living skin, cracks organically opening and closing in rhythm, moisture stains morphing into abstract map-like patterns and dissolving back, subtle slow camera push-in, seamless loop, dark cinematic lighting, no people, São Bento metro area --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 3,Escadaria Infinita,Frame,"São Paulo brutalist concrete staircase seen from below looking up, raw concrete steps receding into darkness, São Paulo skyline barely visible at the top, single dramatic light source, Escher-like impossible depth, no people, dark overcast sky, monumental scale"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 3,Escadaria Infinita,Animação,"São Paulo brutalist concrete staircase seen from below looking up, raw concrete steps slowly ascending frame, at the top the staircase folds impossibly back onto itself Penrose-style, the camera never moves but the stairs keep rising infinitely, São Paulo skyline glimpsed and swallowed by darkness in endless cycle, single dramatic light source shifting with the geometry, dreamlike Escher impossible architecture, seamless infinite loop, no people, dark overcast sky, monumental scale"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 4,Praça Dobrada,Frame,"Resin concrete surfaces arranged in geometric collage, multiple slabs at sharp 90-degree breaks, panels shifting between horizontal vertical and depth planes, varied tones from ash grey to deep charcoal, matte finish with subtle sheen, surface wear and imperfections visible, dramatic raking light catching the plane changes, wide graphic composition, flat 3D render aesthetic, no buildings no sky no people, high contrast"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 4,Praça Dobrada,Animação,"Resin concrete slabs in geometric collage, panels arranged at 90-degree breaks across horizontal vertical and depth planes, each surface slowly rotating independently on its own axis, planes folding into perpendicular angles and unfolding back, varied tones ash grey to deep charcoal, matte finish with subtle sheen, dramatic raking light shifting across plane changes, mograph loop, seamless, no buildings no sky no people, high contrast"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 5,Estação São Bento,Frame,"São Paulo metro train, silver with blue stripe, camera facing directly perpendicular to the train side, 90 degree angle, train body filling the entire frame horizontally, flat lateral view, no logos, no symbols, no text, no markings, no perspective distortion, no people, photorealistic, sharp focus on train body and doors"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 5,Estação São Bento,Animação,"Fixed camera on São Paulo metro station platform, silver and blue metro train entering frame from left at full speed, rushing past perpendicular to camera, filling the entire frame, motion blur on train body, train slowing to a stop, doors sliding open then closing, train accelerating and exiting frame to the right, seamless loop, no people, photorealistic, cinematic widescreen"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 6,Grafite,Frame,"São Paulo metro concrete wall covered in 1980s Brazilian graffiti, ""EDI ROCK"" lettering in old school hip hop wildstyle, Os Gêmeos style vibrant characters, DJs turntables MCs and bboys painted around the lettering, raw concrete surface, underground metro atmosphere, flat frontal view of wall, no people, photorealistic"
BLOCO 01 · Cultura / Rua / Estilo,M01 · QUAL MENTIRA VOU ACREDITAR,Loop 6,Grafite,Animação,"Camera panning laterally across São Paulo metro concrete wall, 1980s Brazilian graffiti mural, ""EDI ROCK"" wildstyle lettering, Os Gêmeos style characters, DJs turntables MCs bboys painted across the wall, underground metro atmosphere, raw concrete, seamless loop, no people, photorealistic"
BLOCO 01 · Cultura / Rua / Estilo,CAPA M02 · NADA COMO UM DIA APÓS O OUTRO DIA,Capa,Capa,Frame,"Nada Como um Dia Após o Outro Dia album cover, Racionais MCs 2002, centered full frame, cinematic dark vignette, heavy film grain, street photography aesthetic, photorealistic"
BLOCO 01 · Cultura / Rua / Estilo,CAPA M02 · NADA COMO UM DIA APÓS O OUTRO DIA,Capa,Capa,Animação,"Nada Como um Dia Após o Outro Dia album cover slowly zooming in, dark vignette pulsing, film grain breathing, seamless loop, cinematic title card"
BLOCO 01 · Cultura / Rua / Estilo,M02 · ESTILO CACHORRO,Loop 1,Rua Molhada,Frame,"Low angle view of wet cobblestone street São Paulo at 3am, orange sodium vapor lamp reflections pooling in puddles, thin urban fog, no people, hyper-textured asphalt, extreme cinematic grain, noir atmosphere, deep shadows"
BLOCO 01 · Cultura / Rua / Estilo,M02 · ESTILO CACHORRO,Loop 1,Rua Molhada,Animação,"Low angle camera slowly gliding over wet São Paulo cobblestone street at night, orange sodium light reflections rippling in puddles, thin fog drifting across frame, no people, seamless loop, cinematic grain --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M02 · ESTILO CACHORRO,Loop 2,Farol na Névoa,Frame,"Two car headlights cutting through dense urban fog in a narrow São Paulo street at night, hard white light beams against deep black shadows, bokeh city lights behind, heavy 35mm film grain, cinematic noir still"
BLOCO 01 · Cultura / Rua / Estilo,M02 · ESTILO CACHORRO,Loop 2,Farol na Névoa,Animação,"Two car headlights slowly approaching through dense São Paulo urban fog at night, light beams cutting through smoke, car passes and disappears, seamless loop, cinematic noir, heavy grain --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M02 · ESTILO CACHORRO,Loop 3,Bar da Esquina,Frame,"Interior of a worn-down São Paulo botequim bar at night, cracked formica tabletop in foreground, beer in a cheap Brazilian tumbler glass half full, greasy coxinha on a paper napkin, worn playing cards scattered, crushed cigarette pack and ashtray overflowing, stained walls with peeling paint, no text, single bare bulb casting dirty yellow light, poverty and dignity, gritty documentary photography, heavy film grain, shallow depth of field"
BLOCO 01 · Cultura / Rua / Estilo,M02 · ESTILO CACHORRO,Loop 3,Bar da Esquina,Animação,"Inside a São Paulo botequim bar at night, slow subtle camera drift observing the space, warm dirty light flickering slightly, iron bars shadows moving on wall, seamless loop, gritty documentary style --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M02 · ESTILO CACHORRO,Loop 4,Moto na Madrugada,Frame,"Motorcycle speeding down empty São Paulo avenue at 3am, city lights bokeh in background, motion blur on wheels, rider silhouette, orange sodium streetlamps, cinematic still, heavy grain"
BLOCO 01 · Cultura / Rua / Estilo,M02 · ESTILO CACHORRO,Loop 4,Moto na Madrugada,Animação,"POV motorcycle riding through empty São Paulo avenues at night, city lights streaking into bokeh, seamless loop, orange and white light trails, cinematic grain, freedom and speed feeling --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,CAPA M03 · CONTRA NÓS NINGUÉM SERÁ,Capa,Capa,Frame,"Contra Nós Ninguém Será album cover, Edi Rock 2013, centered full frame, cinematic dark vignette, film grain, raw urban energy, photorealistic"
BLOCO 01 · Cultura / Rua / Estilo,CAPA M03 · CONTRA NÓS NINGUÉM SERÁ,Capa,Capa,Animação,"Contra Nós Ninguém Será album cover slowly zooming in, dark vignette pulsing, film grain breathing, seamless loop, cinematic title card"
BLOCO 01 · Cultura / Rua / Estilo,M03 · ARO 20,Loop 1,Roda Girando,Frame,"Low side angle close-up of a chrome 20 inch rim mounted on a car, full wheel and tire visible, bold letter E on the center cap in sharp focus, car body barely visible above, parked on dark asphalt at night, dramatic side light catching the chrome spokes, cinematic still, heavy film grain"
BLOCO 01 · Cultura / Rua / Estilo,M03 · ARO 20,Loop 1,Roda Girando,Animação,"Chrome 20 inch rim spinning in slow motion on pure black background, white light streak continuously sweeping across polished surface, seamless loop, hypnotic metallic reflection --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M03 · ARO 20,Loop 2,SP no Chrome,Frame,"São Paulo nighttime skyline impossibly warped across a polished chrome car wheel, extreme fisheye convex distortion, skyscrapers bent into spirals, sodium orange city lights smeared into abstract streaks, no people, pure black background, the city folds and collapses into the center of the chrome, surreal and psychedelic reflection, ultra high contrast, silver and deep orange palette"
BLOCO 01 · Cultura / Rua / Estilo,M03 · ARO 20,Loop 2,SP no Chrome,Animação,"São Paulo skyline slowly rotating inside a chrome car wheel convex reflection, city lights warping and morphing as the rim turns, seamless loop, surreal urban mirror --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M03 · ARO 20,Loop 3,Túnel de Luz,Frame,"Long exposure photography from inside a moving car at night in São Paulo, trails of white and orange headlights forming a light tunnel, deep black background, motion blur, speed aesthetic"
BLOCO 01 · Cultura / Rua / Estilo,M03 · ARO 20,Loop 3,Túnel de Luz,Animação,"Infinite light tunnel from inside a moving car at night, white and orange light trails streaming past, seamless loop, no beginning no end, pure speed and light --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M03 · ARO 20,Loop 4,Detalhe Mecânico,Frame,"Cinema 4D mograph render of chrome car rims multiplied in a kaleidoscope pattern, dozens of spinning wheels tiling into infinity, reflective metallic spokes catching neon orange and white light, dark void background, motion blur trails, abstract geometric symmetry, 3D render aesthetic, loopable motion graphics, high gloss chrome surfaces, hyper detailed"
BLOCO 01 · Cultura / Rua / Estilo,M03 · ARO 20,Loop 4,Detalhe Mecânico,Animação,"Slow macro camera drift across chrome wheel mechanical details, bolts, brake caliper, tire rubber, seamless loop exploring surface texture, industrial beauty, black background --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,CAPA M04 · SPECIAL,Capa,Capa,Frame,"Special single cover, Edi Rock 2017, centered full frame, cinematic dark vignette, film grain, bold typographic presence, photorealistic"
BLOCO 01 · Cultura / Rua / Estilo,CAPA M04 · SPECIAL,Capa,Capa,Animação,"Special single cover slowly zooming in, dark vignette pulsing, film grain breathing, seamless loop, cinematic title card"
BLOCO 01 · Cultura / Rua / Estilo,M04 · SPECIAL,Loop 1,Lowrider Bounce,Frame,"Abstract gradient wave frozen mid-pulse, deep candy apple red bleeding into black, thin gold line cutting through the color field like a horizon, pure color abstraction, no objects, high gloss finish aesthetic, ultra cinematic"
BLOCO 01 · Cultura / Rua / Estilo,M04 · SPECIAL,Loop 1,Lowrider Bounce,Animação,"Abstract candy apple red gradient rhythmically pulsing and compressing like a wave, thin gold line oscillating through the color mass, seamless loop, pure color no objects --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M04 · SPECIAL,Loop 2,Sunset Palms,Frame,"Tall vertical shafts of amber light cutting through deep violet atmosphere, abstract light rays that suggest height and warmth without depicting any object, strong directionality from below, golden backlight bleeding into purple darkness, dust particles suspended in the light beams, cinematic depth, no silhouettes no horizon, pure light and atmosphere"
BLOCO 01 · Cultura / Rua / Estilo,M04 · SPECIAL,Loop 2,Sunset Palms,Animação,"Abstract warm orange color field slowly bleeding into deep violet, the gradient breathing and shifting like a living atmosphere, no objects no silhouettes, seamless loop, Rothko-like luminous abstraction --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M04 · SPECIAL,Loop 3,Arte Muralista,Frame,"Abstract symmetrical gradient pattern, deep crimson red and gold tones layered in dense ornamental rhythm, no text no faces no objects, pure color density and warm tonal contrast, full frame abstract composition, rich and saturated"
BLOCO 01 · Cultura / Rua / Estilo,M04 · SPECIAL,Loop 3,Arte Muralista,Animação,"Abstract crimson and gold gradient field slowly rotating and shifting in dense symmetrical rhythm, no objects no text, pure warm color abstraction, seamless loop --ar 16:9"
BLOCO 01 · Cultura / Rua / Estilo,M04 · SPECIAL,Loop 4,Chrome e Ouro,Frame,"Flowing ribbons of liquid chrome and molten gold intertwining in deep black space, organic curved forms with high reflectivity, silver and gold strands catching and refracting light, abstract but with clear shape and movement, no recognizable objects, macro liquid metal aesthetic, ultra cinematic, high contrast"
BLOCO 01 · Cultura / Rua / Estilo,M04 · SPECIAL,Loop 4,Chrome e Ouro,Animação,"Abstract cold silver and warm gold gradient slowly shifting and breathing against deep black, no objects no surfaces, pure luminous color transition, seamless loop --ar 16:9"
BLOCO 02 · Origem / Identidade,CAPA M05 · ORIGENS,Capa,Capa,Frame,"Origens album cover, Edi Rock 2019, centered full frame, cinematic dark vignette, warm earth tones, film grain, Afro-Brazilian heritage atmosphere, photorealistic"
BLOCO 02 · Origem / Identidade,CAPA M05 · ORIGENS,Capa,Capa,Animação,"Origens album cover slowly zooming in, warm vignette pulsing, film grain breathing, seamless loop, cinematic title card"
BLOCO 02 · Origem / Identidade,M05 · DE ONDE EU VENHO,Loop 1,Arquivo,Frame,"J. Borges style xilogravura, Black Afro-Brazilian family gathered, angular woodcut marks, crude carved lines, flat black shapes with sharp cut edges, cream paper, high contrast, no photography, no illustration"
BLOCO 02 · Origem / Identidade,M05 · DE ONDE EU VENHO,Loop 1,Arquivo,Animação,"J. Borges style xilogravura, Black Afro-Brazilian family gathered, angular woodcut marks, crude carved lines, flat black shapes, cream paper, high contrast, seamless loop, subtle breathing movement"
BLOCO 02 · Origem / Identidade,M05 · DE ONDE EU VENHO,Loop 2,Raiz Viva,Frame,"J. Borges style xilogravura, large tree with massive exposed roots, angular woodcut marks, crude carved lines, flat black shapes with sharp cut edges, cream paper, high contrast, no photography, no illustration"
BLOCO 02 · Origem / Identidade,M05 · DE ONDE EU VENHO,Loop 2,Raiz Viva,Animação,"J. Borges style xilogravura, large tree with massive exposed roots, angular woodcut marks, crude carved lines, flat black shapes, cream paper, high contrast, seamless loop, roots slowly expanding"
BLOCO 02 · Origem / Identidade,M05 · DE ONDE EU VENHO,Loop 3,O Retrato,Frame,"J. Borges style xilogravura, close-up portrait of a Black Brazilian man staring directly at camera, tight framing, angular woodcut marks, crude carved lines, flat black shapes with sharp cut edges, cream paper, high contrast, no photography, no illustration"
BLOCO 02 · Origem / Identidade,M05 · DE ONDE EU VENHO,Loop 3,O Retrato,Animação,"J. Borges style xilogravura, close-up portrait of a Black Brazilian man staring directly at camera, tight framing, angular woodcut marks, crude carved lines, flat black shapes, cream paper, high contrast, seamless loop, subtle pulse"
BLOCO 02 · Origem / Identidade,M05 · DE ONDE EU VENHO,Loop 4,Percussão Ancestral,Frame,"J. Borges style xilogravura, Black Afro-Brazilian figures playing drums in a circle arms raised, angular woodcut marks, crude carved lines, flat black shapes with sharp cut edges, cream paper, high contrast, no photography, no illustration"
BLOCO 02 · Origem / Identidade,M05 · DE ONDE EU VENHO,Loop 4,Percussão Ancestral,Animação,"J. Borges style xilogravura, Black Afro-Brazilian figures drumming in a circle arms raised, angular woodcut marks, crude carved lines, flat black shapes, cream paper, high contrast, seamless loop, figures in rhythmic motion"
BLOCO 02 · Origem / Identidade,CAPA M06 · ORIGENS PARTE 2,Capa,Capa,Frame,"Origens Parte 2 album cover, Edi Rock 2020, centered full frame, cinematic dark vignette, warm earth tones, film grain, photorealistic"
BLOCO 02 · Origem / Identidade,CAPA M06 · ORIGENS PARTE 2,Capa,Capa,Animação,"Origens Parte 2 album cover slowly zooming in, warm vignette pulsing, film grain breathing, seamless loop, cinematic title card"
BLOCO 02 · Origem / Identidade,M06 · PARANOIA,Loop 1,CCTV,Frame,"Damaged VHS footage of CCTV surveillance camera POV, empty São Paulo street at night, extreme tracking errors, heavy scanlines, color bleeding, corrupted timestamp glitching, chromatic aberration, analog static bursts, tape damage artifacts, cold blue-green tones, no clean image"
BLOCO 02 · Origem / Identidade,M06 · PARANOIA,Loop 1,CCTV,Animação,"Damaged VHS CCTV footage slowly panning São Paulo street at night, heavy tracking errors flickering, scanlines rolling, signal corruption bursts, glitching timestamp, seamless loop, dirty analog aesthetic"
BLOCO 02 · Origem / Identidade,M06 · PARANOIA,Loop 2,Grades e Muros,Frame,"VHS glitch, São Paulo alley walls and locked gates at night, heavy analog distortion warping concrete, scanlines cutting through frame, signal dropout black bands, almost monochrome desaturated cold grey, minimal color, analog noise, dirty tape damage, claustrophobic urban paranoia"
BLOCO 02 · Origem / Identidade,M06 · PARANOIA,Loop 2,Grades e Muros,Animação,"VHS damaged footage drifting through São Paulo alley walls and locked gates, tracking error lines rolling, signal dropout bands flickering, almost monochrome desaturated grey, seamless glitch loop, dirty tape damage"
BLOCO 02 · Origem / Identidade,M06 · PARANOIA,Loop 3,O Rosto,Frame,"VHS brutal glitch, extreme close-up of a Black man's face on pure black background, heavy chromatic aberration splitting the face, frame tearing, scanlines crushing the image, signal dropout eating half the frame, datamosh pixel corruption, black and white only, zero saturation, monochrome, no color, total signal destruction, heavily degraded tape, image barely readable, corrupted beyond recognition, maximum noise and static, rotten analog decay"
BLOCO 02 · Origem / Identidade,M06 · PARANOIA,Loop 3,O Rosto,Animação,"VHS brutal glitch, extreme close-up of a Black man's face on pure black background, frame tearing, scanlines crushing, signal dropout flickering, datamosh corruption, monochrome zero saturation, rotten analog decay, seamless loop"
BLOCO 02 · Origem / Identidade,M06 · PARANOIA,Loop 4,Poço Fundo,Frame,"VHS brutal glitch, POV from inside a deep dark pit looking up, tiny circle of cold light far above, walls corrupted by heavy analog distortion, scanlines crushing the depth, signal dropout eating the image, black and white only, zero saturation, monochrome, maximum tape damage static, heavily degraded footage, image barely readable, rotten analog decay, surreal claustrophobic descent"
BLOCO 02 · Origem / Identidade,M06 · PARANOIA,Loop 4,Poço Fundo,Animação,"VHS brutal glitch, slowly falling down an endless dark pit, tracking error bands rolling, signal dropout flickering black, monochrome zero saturation, maximum tape damage, rotten analog decay, seamless claustrophobic descent loop"
